Time,V
2.0570E-06,2.0632632315E-02
2.0580E-06,2.0588034213E-02
2.0590E-06,2.0623433650E-02
2.0600E-06,2.0592432082E-02
2.0610E-06,2.0594449580E-02
2.0620E-06,2.0579291880E-02
2.0630E-06,2.0576961577E-02
2.0640E-06,2.0563814700E-02
2.0650E-06,2.0539587557E-02
2.0660E-06,2.0507538855E-02
2.0670E-06,2.0518759787E-02
2.0680E-06,2.0478425086E-02
2.0690E-06,2.0474378645E-02
2.0700E-06,2.0484121382E-02
2.0710E-06,2.0452809393E-02
2.0720E-06,2.0445827067E-02
2.0730E-06,2.0445854247E-02
2.0740E-06,2.0449647486E-02
2.0750E-06,2.0385536730E-02
2.0760E-06,2.0408278048E-02
2.0770E-06,2.0379055083E-02
2.0780E-06,2.0373110354E-02
2.0790E-06,2.0375501692E-02
2.0800E-06,2.0331030905E-02
2.0810E-06,2.0346391737E-02
2.0820E-06,2.0310806334E-02
2.0830E-06,2.0288013041E-02
2.0840E-06,2.0293947279E-02
2.0850E-06,2.0264844954E-02
2.0860E-06,2.0267201960E-02
2.0870E-06,2.0242966712E-02
2.0880E-06,2.0211657107E-02
2.0890E-06,2.0188307345E-02
2.0900E-06,2.0209865153E-02
2.0910E-06,2.0156615317E-02
2.0920E-06,2.0175591052E-02
2.0930E-06,2.0151891768E-02
2.0940E-06,2.0162098467E-02
2.0950E-06,2.0155128062E-02
2.0960E-06,2.0112082064E-02
2.0970E-06,2.0094922125E-02
2.0980E-06,2.0113309443E-02
2.0990E-06,2.0072025836E-02
2.1000E-06,2.0082311213E-02
2.1010E-06,2.0037317336E-02
2.1020E-06,2.0052568972E-02
2.1030E-06,2.0025449336E-02
2.1040E-06,2.0010834277E-02
2.1050E-06,2.0002858222E-02
2.1060E-06,2.0000598490E-02
2.1070E-06,1.9950790942E-02
2.1080E-06,1.9985523760E-02
2.1090E-06,1.9931079447E-02
2.1100E-06,1.9934298098E-02
2.1110E-06,1.9904151499E-02
2.1120E-06,1.9908010542E-02
2.1130E-06,1.9865692675E-02
2.1140E-06,1.9885414183E-02
2.1150E-06,1.9879655898E-02
2.1160E-06,1.9863626540E-02
2.1170E-06,1.9819993556E-02
2.1180E-06,1.9802203238E-02
2.1190E-06,1.9782652438E-02
