Time,V
1.1060E-06,5.2911306620E-03
1.1070E-06,5.3004049540E-03
1.1080E-06,5.2633539438E-03
1.1090E-06,5.2673649073E-03
1.1100E-06,5.2340513468E-03
1.1110E-06,5.2562553644E-03
1.1120E-06,5.2052141428E-03
1.1130E-06,5.2116136789E-03
1.1140E-06,5.1975031137E-03
1.1150E-06,5.1987228632E-03
1.1160E-06,5.1794615030E-03
1.1170E-06,5.1697372675E-03
1.1180E-06,5.1733776331E-03
1.1190E-06,5.1620416880E-03
1.1200E-06,5.1536134958E-03
1.1210E-06,5.1493501902E-03
1.1220E-06,5.1406391382E-03
1.1230E-06,5.1382045984E-03
1.1240E-06,5.1354297876E-03
1.1250E-06,5.1136739969E-03
1.1260E-06,5.1217888117E-03
1.1270E-06,5.0840420008E-03
1.1280E-06,5.1036913157E-03
1.1290E-06,5.0437748194E-03
1.1300E-06,5.0855417490E-03
1.1310E-06,5.0579231501E-03
1.1320E-06,5.0643411875E-03
1.1330E-06,5.0425400019E-03
1.1340E-06,5.0415266275E-03
1.1350E-06,5.0266931772E-03
1.1360E-06,5.0315431833E-03
1.1370E-06,5.0154470682E-03
1.1380E-06,5.0019260645E-03
1.1390E-06,5.0165405512E-03
1.1400E-06,4.9924303293E-03
1.1410E-06,4.9867130518E-03
1.1420E-06,4.9746958017E-03
1.1430E-06,4.9526621103E-03
1.1440E-06,4.9264637232E-03
1.1450E-06,4.9572801828E-03
1.1460E-06,4.9342418909E-03
1.1470E-06,4.9145189524E-03
1.1480E-06,4.9123689890E-03
1.1490E-06,4.9202614069E-03
1.1500E-06,4.9271000147E-03
1.1510E-06,4.9118078470E-03
1.1520E-06,4.8965400934E-03
1.1530E-06,4.9127069712E-03
1.1540E-06,4.9071321726E-03
1.1550E-06,4.9039062738E-03
1.1560E-06,4.8669658899E-03
1.1570E-06,4.8989668131E-03
1.1580E-06,4.8765516520E-03
1.1590E-06,4.8581247568E-03
1.1600E-06,4.8705505610E-03
1.1610E-06,4.8515827417E-03
1.1620E-06,4.9019230127E-03
1.1630E-06,4.8746162653E-03
1.1640E-06,4.8714195490E-03
1.1650E-06,4.8585489511E-03
1.1660E-06,4.8369610071E-03
1.1670E-06,4.8278331995E-03
1.1680E-06,4.8093719721E-03
1.1690E-06,4.8181305170E-03
1.1700E-06,4.8020883799E-03
1.1710E-06,4.7830160379E-03
1.1720E-06,4.7789142847E-03
1.1730E-06,4.7881220102E-03
1.1740E-06,4.7699129343E-03
1.1750E-06,4.7677845240E-03
1.1760E-06,4.7784761667E-03
1.1770E-06,4.7642307520E-03
1.1780E-06,4.7413749933E-03
1.1790E-06,4.7434856653E-03
1.1800E-06,4.7244840860E-03
1.1810E-06,4.7408481836E-03
1.1820E-06,4.7213091135E-03
1.1830E-06,4.7170578241E-03
1.1840E-06,4.7385698557E-03
1.1850E-06,4.6934438944E-03
1.1860E-06,4.7279211283E-03
1.1870E-06,4.7011013269E-03
1.1880E-06,4.6918949366E-03
1.1890E-06,4.6865799189E-03
1.1900E-06,4.7096340418E-03
1.1910E-06,4.6967930079E-03
1.1920E-06,4.6842964411E-03
1.1930E-06,4.6654714823E-03
1.1940E-06,4.6677078485E-03
1.1950E-06,4.6531488657E-03
1.1960E-06,4.6508697748E-03
1.1970E-06,4.6400610209E-03
1.1980E-06,4.6671404123E-03
1.1990E-06,4.6224212885E-03
1.2000E-06,4.6442819834E-03
1.2010E-06,4.6201977015E-03
1.2020E-06,4.6421474695E-03
1.2030E-06,4.5988910913E-03
1.2040E-06,4.6267507792E-03
1.2050E-06,4.6125009775E-03
1.2060E-06,4.6009378672E-03
1.2070E-06,4.5924537897E-03
1.2080E-06,4.5803482294E-03
1.2090E-06,4.5964439631E-03
1.2100E-06,4.5905254602E-03
1.2110E-06,4.5728197336E-03
1.2120E-06,4.5669286966E-03
1.2130E-06,4.5675525904E-03
1.2140E-06,4.5491892099E-03
1.2150E-06,4.5730709314E-03
1.2160E-06,4.5679044962E-03
1.2170E-06,4.5403492212E-03
1.2180E-06,4.5488828897E-03
1.2190E-06,4.5421266794E-03
1.2200E-06,4.5533123255E-03
1.2210E-06,4.5290802240E-03
1.2220E-06,4.5361217737E-03
1.2230E-06,4.5119331598E-03
1.2240E-06,4.5257749796E-03
1.2250E-06,4.5108740091E-03
1.2260E-06,4.5199478388E-03
1.2270E-06,4.4801119089E-03
1.2280E-06,4.4792253733E-03
1.2290E-06,4.4579746485E-03
1.2300E-06,4.4752132654E-03
1.2310E-06,4.4604637384E-03
1.2320E-06,4.4199802637E-03
1.2330E-06,4.4519787073E-03
1.2340E-06,4.4500335932E-03
1.2350E-06,4.4256670237E-03
1.2360E-06,4.4206527948E-03
1.2370E-06,4.4250953913E-03
1.2380E-06,4.4228361368E-03
1.2390E-06,4.3982525110E-03
1.2400E-06,4.3872928858E-03
1.2410E-06,4.3778364420E-03
1.2420E-06,4.3792684793E-03
1.2430E-06,4.3650867701E-03
1.2440E-06,4.3701063395E-03
1.2450E-06,4.3660656214E-03
1.2460E-06,4.3418117762E-03
1.2470E-06,4.3433748484E-03
1.2480E-06,4.3573518991E-03
1.2490E-06,4.3509975672E-03
1.2500E-06,4.3209694147E-03
1.2510E-06,4.3174543619E-03
1.2520E-06,4.3375938654E-03
1.2530E-06,4.3184301615E-03
1.2540E-06,4.3319719553E-03
1.2550E-06,4.3083585978E-03
1.2560E-06,4.2958664179E-03
1.2570E-06,4.3031437159E-03
1.2580E-06,4.2775493860E-03
1.2590E-06,4.3092783213E-03
1.2600E-06,4.2896375895E-03
1.2610E-06,4.2750725031E-03
1.2620E-06,4.2659918070E-03
1.2630E-06,4.2630579233E-03
1.2640E-06,4.2364097834E-03
1.2650E-06,4.2533926249E-03
1.2660E-06,4.2476209879E-03
1.2670E-06,4.2384111643E-03
1.2680E-06,4.2164764643E-03
1.2690E-06,4.2174223185E-03
1.2700E-06,4.2051702738E-03
1.2710E-06,4.2181133509E-03
1.2720E-06,4.1953951120E-03
1.2730E-06,4.2136881113E-03
1.2740E-06,4.1669506311E-03
1.2750E-06,4.1900772333E-03
1.2760E-06,4.1602884531E-03
1.2770E-06,4.2060987711E-03
1.2780E-06,4.1660349131E-03
1.2790E-06,4.1677387476E-03
1.2800E-06,4.1728344202E-03
1.2810E-06,4.1559864283E-03
1.2820E-06,4.1473137140E-03
1.2830E-06,4.1641689539E-03
1.2840E-06,4.1503399134E-03
1.2850E-06,4.1297069788E-03
1.2860E-06,4.1311779261E-03
1.2870E-06,4.1215706110E-03
1.2880E-06,4.1092254877E-03
1.2890E-06,4.1151991129E-03
1.2900E-06,4.0774515390E-03
1.2910E-06,4.0827846766E-03
1.2920E-06,4.1003303766E-03
1.2930E-06,4.0933941126E-03
1.2940E-06,4.0981983423E-03
1.2950E-06,4.0751209497E-03
1.2960E-06,4.0788952112E-03
1.2970E-06,4.0935215235E-03
1.2980E-06,4.0833233118E-03
1.2990E-06,4.0535658121E-03
1.3000E-06,4.0454910517E-03
1.3010E-06,4.0219909906E-03
1.3020E-06,4.0597368479E-03
1.3030E-06,4.0242742777E-03
1.3040E-06,4.0266121149E-03
1.3050E-06,4.0219944239E-03
1.3060E-06,4.0140564203E-03
1.3070E-06,4.0067770243E-03
1.3080E-06,3.9979105234E-03
1.3090E-06,4.0067146540E-03
1.3100E-06,3.9652279139E-03
1.3110E-06,3.9866388559E-03
1.3120E-06,3.9600286722E-03
1.3130E-06,3.9714428186E-03
1.3140E-06,3.9457514048E-03
1.3150E-06,3.9584812403E-03
1.3160E-06,3.9582363367E-03
1.3170E-06,3.9340233088E-03
1.3180E-06,3.9273163080E-03
1.3190E-06,3.9490236521E-03
1.3200E-06,3.9256242990E-03
1.3210E-06,3.9265590906E-03
1.3220E-06,3.8854305506E-03
1.3230E-06,3.9107601404E-03
1.3240E-06,3.8847290277E-03
1.3250E-06,3.8791788340E-03
1.3260E-06,3.8862945795E-03
1.3270E-06,3.8848457575E-03
1.3280E-06,3.8567375422E-03
1.3290E-06,3.8718546152E-03
1.3300E-06,3.8641910791E-03
1.3310E-06,3.8431209803E-03
1.3320E-06,3.8521057367E-03
1.3330E-06,3.8254801035E-03
1.3340E-06,3.8273506403E-03
1.3350E-06,3.8246898890E-03
1.3360E-06,3.8232273340E-03
1.3370E-06,3.8305116892E-03
1.3380E-06,3.7838775873E-03
1.3390E-06,3.7912826777E-03
1.3400E-06,3.7928226709E-03
1.3410E-06,3.7915169001E-03
1.3420E-06,3.7802156687E-03
1.3430E-06,3.7583837748E-03
1.3440E-06,3.7532329798E-03
1.3450E-06,3.7466127634E-03
1.3460E-06,3.7489656687E-03
1.3470E-06,3.7395641565E-03
1.3480E-06,3.7512354136E-03
1.3490E-06,3.7317838907E-03
1.3500E-06,3.7142557383E-03
1.3510E-06,3.7442922831E-03
1.3520E-06,3.7229938746E-03
1.3530E-06,3.7192127466E-03
1.3540E-06,3.7180996180E-03
1.3550E-06,3.7367170572E-03
1.3560E-06,3.6970083475E-03
1.3570E-06,3.7216099024E-03
1.3580E-06,3.7013941050E-03
1.3590E-06,3.6735649347E-03
1.3600E-06,3.6987236261E-03
1.3610E-06,3.6640564203E-03
1.3620E-06,3.6826158762E-03
1.3630E-06,3.6652420282E-03
1.3640E-06,3.6713545084E-03
1.3650E-06,3.6571180582E-03
1.3660E-06,3.6552557230E-03
1.3670E-06,3.6420156717E-03
1.3680E-06,3.6377750635E-03
1.3690E-06,3.6367040873E-03
1.3700E-06,3.6237821817E-03
1.3710E-06,3.6158844233E-03
1.3720E-06,3.6130405664E-03
1.3730E-06,3.6041794062E-03
1.3740E-06,3.5877556086E-03
1.3750E-06,3.6044018030E-03
1.3760E-06,3.6011823893E-03
1.3770E-06,3.6169525385E-03
1.3780E-06,3.5789766550E-03
1.3790E-06,3.6093424082E-03
1.3800E-06,3.5878648996E-03
1.3810E-06,3.5854477167E-03
1.3820E-06,3.5475967646E-03
1.3830E-06,3.5754987955E-03
1.3840E-06,3.5585560083E-03
1.3850E-06,3.5651031733E-03
1.3860E-06,3.5493591547E-03
1.3870E-06,3.5447647333E-03
1.3880E-06,3.5503807306E-03
1.3890E-06,3.5348751307E-03
1.3900E-06,3.5301378489E-03
1.3910E-06,3.5389040232E-03
1.3920E-06,3.5193420649E-03
1.3930E-06,3.5264055490E-03
1.3940E-06,3.4988184214E-03
1.3950E-06,3.4909422159E-03
1.3960E-06,3.4901142359E-03
1.3970E-06,3.4886539698E-03
1.3980E-06,3.4915207148E-03
1.3990E-06,3.4942217112E-03
1.4000E-06,3.4838051081E-03
1.4010E-06,3.4861732721E-03
1.4020E-06,3.4753099680E-03
1.4030E-06,3.4711214304E-03
1.4040E-06,3.4388979197E-03
1.4050E-06,3.4592832804E-03
1.4060E-06,3.4559410334E-03
1.4070E-06,3.4382038355E-03
1.4080E-06,3.4518047571E-03
1.4090E-06,3.4391243219E-03
1.4100E-06,3.4537193537E-03
1.4110E-06,3.4244955301E-03
1.4120E-06,3.4212459803E-03
1.4130E-06,3.4210453272E-03
1.4140E-06,3.4448412180E-03
1.4150E-06,3.4403286219E-03
1.4160E-06,3.4033996820E-03
1.4170E-06,3.4005996943E-03
1.4180E-06,3.3944753885E-03
1.4190E-06,3.3872715235E-03
1.4200E-06,3.4061832666E-03
1.4210E-06,3.3827873468E-03
1.4220E-06,3.3925508738E-03
1.4230E-06,3.4097591639E-03
1.4240E-06,3.3754762888E-03
1.4250E-06,3.3883968592E-03
1.4260E-06,3.3769209147E-03
1.4270E-06,3.3682680368E-03
1.4280E-06,3.3656334162E-03
1.4290E-06,3.3556055307E-03
1.4300E-06,3.3453085184E-03
1.4310E-06,3.3524244547E-03
1.4320E-06,3.3572397470E-03
1.4330E-06,3.3453903437E-03
1.4340E-06,3.3500908136E-03
1.4350E-06,3.3200720072E-03
1.4360E-06,3.3454124689E-03
1.4370E-06,3.3354656458E-03
1.4380E-06,3.3223341227E-03
1.4390E-06,3.3129354715E-03
1.4400E-06,3.3098594904E-03
1.4410E-06,3.3241958857E-03
1.4420E-06,3.3126648188E-03
1.4430E-06,3.3153002024E-03
1.4440E-06,3.3227817774E-03
1.4450E-06,3.3135553598E-03
1.4460E-06,3.2967960596E-03
1.4470E-06,3.3238420725E-03
1.4480E-06,3.3004249811E-03
1.4490E-06,3.2952455759E-03
1.4500E-06,3.2962616205E-03
1.4510E-06,3.2963087320E-03
1.4520E-06,3.3011158228E-03
1.4530E-06,3.2967518091E-03
1.4540E-06,3.2841675043E-03
1.4550E-06,3.2858928919E-03
1.4560E-06,3.2750110865E-03
1.4570E-06,3.2845773935E-03
1.4580E-06,3.2863386393E-03
1.4590E-06,3.2835306406E-03
1.4600E-06,3.2792610407E-03
1.4610E-06,3.2796997309E-03
1.4620E-06,3.2462156534E-03
1.4630E-06,3.2613310099E-03
1.4640E-06,3.2531078577E-03
1.4650E-06,3.2552269220E-03
1.4660E-06,3.2465816736E-03
1.4670E-06,3.2024009943E-03
1.4680E-06,3.2332424402E-03
1.4690E-06,3.2236028910E-03
1.4700E-06,3.2376800776E-03
1.4710E-06,3.2089197397E-03
1.4720E-06,3.2224964380E-03
1.4730E-06,3.2265922785E-03
1.4740E-06,3.2012609720E-03
1.4750E-06,3.2159900904E-03
1.4760E-06,3.2074470758E-03
1.4770E-06,3.2151176691E-03
1.4780E-06,3.2111622095E-03
1.4790E-06,3.1713325739E-03
1.4800E-06,3.1851469278E-03
1.4810E-06,3.1729614496E-03
1.4820E-06,3.1639604807E-03
1.4830E-06,3.1725431681E-03
1.4840E-06,3.1695089579E-03
1.4850E-06,3.1432827234E-03
1.4860E-06,3.1452802897E-03
1.4870E-06,3.1503044367E-03
1.4880E-06,3.1343811274E-03
1.4890E-06,3.1264856577E-03
1.4900E-06,3.1416902781E-03
1.4910E-06,3.1473051310E-03
1.4920E-06,3.1338897943E-03
1.4930E-06,3.1200952768E-03
1.4940E-06,3.1122871637E-03
1.4950E-06,3.1178745508E-03
1.4960E-06,3.1135370493E-03
1.4970E-06,3.1099506617E-03
1.4980E-06,3.1015474558E-03
1.4990E-06,3.0865436792E-03
1.5000E-06,3.0674844980E-03
1.5010E-06,3.0860857248E-03
1.5020E-06,3.0811022043E-03
1.5030E-06,3.0743122339E-03
1.5040E-06,3.0735145807E-03
1.5050E-06,3.0851330042E-03
1.5060E-06,3.0698879480E-03
1.5070E-06,3.0725027323E-03
1.5080E-06,3.0627363443E-03
1.5090E-06,3.0620071650E-03
1.5100E-06,3.0383161783E-03
1.5110E-06,3.0375751734E-03
1.5120E-06,3.0410320520E-03
1.5130E-06,3.0731945276E-03
1.5140E-06,3.0350429773E-03
1.5150E-06,3.0716993570E-03
1.5160E-06,3.0278503656E-03
1.5170E-06,3.0593975306E-03
1.5180E-06,3.0357769251E-03
1.5190E-06,3.0181356668E-03
1.5200E-06,3.0591081858E-03
1.5210E-06,3.0401111841E-03
1.5220E-06,3.0301115274E-03
1.5230E-06,3.0251041651E-03
1.5240E-06,3.0274397135E-03
1.5250E-06,3.0028490305E-03
1.5260E-06,3.0124958277E-03
1.5270E-06,2.9891317606E-03
1.5280E-06,2.9862354517E-03
1.5290E-06,2.9986946344E-03
1.5300E-06,2.9978540659E-03
1.5310E-06,2.9868871927E-03
1.5320E-06,2.9674173594E-03
1.5330E-06,2.9614622355E-03
1.5340E-06,2.9611746073E-03
1.5350E-06,2.9692734003E-03
1.5360E-06,2.9552891016E-03
1.5370E-06,2.9799955606E-03
1.5380E-06,2.9588669062E-03
1.5390E-06,2.9552452326E-03
1.5400E-06,2.9528181314E-03
1.5410E-06,2.9632200480E-03
1.5420E-06,2.9475534678E-03
1.5430E-06,2.9416639566E-03
1.5440E-06,2.9457346201E-03
1.5450E-06,2.9368183374E-03
1.5460E-06,2.9298034906E-03
1.5470E-06,2.9126117945E-03
1.5480E-06,2.8943741083E-03
1.5490E-06,2.9525388956E-03
1.5500E-06,2.9443321466E-03
1.5510E-06,2.9218088388E-03
1.5520E-06,2.9291221857E-03
1.5530E-06,2.9115040064E-03
1.5540E-06,2.9191225290E-03
1.5550E-06,2.8887003183E-03
1.5560E-06,2.8998346567E-03
1.5570E-06,2.8821834803E-03
1.5580E-06,2.9128141642E-03
1.5590E-06,2.9146517038E-03
1.5600E-06,2.8937410593E-03
1.5610E-06,2.8972759485E-03
1.5620E-06,2.8797296762E-03
1.5630E-06,2.8845997095E-03
1.5640E-06,2.8889919519E-03
1.5650E-06,2.8859911203E-03
1.5660E-06,2.8563265085E-03
1.5670E-06,2.8919595957E-03
1.5680E-06,2.8693567514E-03
1.5690E-06,2.8591482401E-03
1.5700E-06,2.8577600718E-03
1.5710E-06,2.8449434519E-03
1.5720E-06,2.8608612299E-03
1.5730E-06,2.8310507059E-03
1.5740E-06,2.8646515131E-03
1.5750E-06,2.8304188013E-03
1.5760E-06,2.8372663736E-03
1.5770E-06,2.8161642313E-03
1.5780E-06,2.8236917734E-03
1.5790E-06,2.8187584162E-03
1.5800E-06,2.8316953897E-03
1.5810E-06,2.7957447290E-03
1.5820E-06,2.8207277536E-03
1.5830E-06,2.8113584757E-03
1.5840E-06,2.8138759851E-03
1.5850E-06,2.8270731211E-03
1.5860E-06,2.8103521585E-03
1.5870E-06,2.7953077555E-03
1.5880E-06,2.7872135401E-03
1.5890E-06,2.7828691721E-03
1.5900E-06,2.7606657267E-03
1.5910E-06,2.8055708170E-03
1.5920E-06,2.7693475962E-03
1.5930E-06,2.7813305140E-03
1.5940E-06,2.7791197062E-03
1.5950E-06,2.7753004313E-03
1.5960E-06,2.7897014856E-03
1.5970E-06,2.7657167673E-03
1.5980E-06,2.7729013681E-03
1.5990E-06,2.7648792505E-03
