in s,CH2 in V
-4.9500E-07,1.9316101670E-03
-4.9400E-07,1.9249206185E-03
-4.9300E-07,1.9212866426E-03
-4.9200E-07,1.9280648828E-03
-4.9100E-07,1.9283862710E-03
-4.9000E-07,1.9206705689E-03
-4.8900E-07,1.9358778596E-03
-4.8800E-07,1.9254651666E-03
-4.8700E-07,1.9396558404E-03
-4.8600E-07,1.9186106324E-03
-4.8500E-07,1.9236922860E-03
-4.8400E-07,1.9203215241E-03
-4.8300E-07,1.9194050431E-03
-4.8200E-07,1.9170914292E-03
-4.8100E-07,1.9295483232E-03
-4.8000E-07,1.9270702004E-03
-4.7900E-07,1.9205594659E-03
-4.7800E-07,1.9381223321E-03
-4.7700E-07,1.9493003488E-03
-4.7600E-07,1.9421616197E-03
-4.7500E-07,1.9442444444E-03
-4.7400E-07,1.9461923242E-03
-4.7300E-07,1.9264107347E-03
-4.7200E-07,1.9365735650E-03
-4.7100E-07,1.9356051087E-03
-4.7000E-07,1.9364171624E-03
-4.6900E-07,1.9302406907E-03
-4.6800E-07,1.9376407266E-03
-4.6700E-07,1.9125929475E-03
-4.6600E-07,1.9244719148E-03
-4.6500E-07,1.9349856973E-03
-4.6400E-07,1.9398337007E-03
-4.6300E-07,1.9424682260E-03
-4.6200E-07,1.9449787736E-03
-4.6100E-07,1.9180431962E-03
-4.6000E-07,1.9460278153E-03
-4.5900E-07,1.9219275117E-03
-4.5800E-07,1.9418545365E-03
-4.5700E-07,1.9204097390E-03
-4.5600E-07,1.9305267930E-03
-4.5500E-07,1.9238529801E-03
-4.5400E-07,1.9280043244E-03
-4.5300E-07,1.9355517030E-03
-4.5200E-07,1.9421582818E-03
-4.5100E-07,1.9383454919E-03
-4.5000E-07,1.9430137277E-03
-4.4900E-07,1.9143047929E-03
-4.4800E-07,1.9402480721E-03
-4.4700E-07,1.9161959291E-03
-4.4600E-07,1.9388666749E-03
-4.4500E-07,1.9360046983E-03
-4.4400E-07,1.9255595803E-03
-4.4300E-07,1.9344034791E-03
-4.4200E-07,1.9156523347E-03
-4.4100E-07,1.9249182343E-03
-4.4000E-07,1.9210515618E-03
-4.3900E-07,1.9281507134E-03
-4.3800E-07,1.9207931161E-03
-4.3700E-07,1.9220753312E-03
-4.3600E-07,1.9178319573E-03
-4.3500E-07,1.9203830361E-03
-4.3400E-07,1.9177008271E-03
-4.3300E-07,1.9272556901E-03
-4.3200E-07,1.9245410562E-03
-4.3100E-07,1.9298258424E-03
-4.3000E-07,1.9179659486E-03
-4.2900E-07,1.9254031777E-03
-4.2800E-07,1.9116888642E-03
-4.2700E-07,1.9329143167E-03
-4.2600E-07,1.9149304032E-03
-4.2500E-07,1.9248548150E-03
-4.2400E-07,1.9153733850E-03
-4.2300E-07,1.9172211289E-03
-4.2200E-07,1.9321461320E-03
-4.2100E-07,1.9207697511E-03
-4.2000E-07,1.9197760224E-03
-4.1900E-07,1.9115639329E-03
-4.1800E-07,1.9183693528E-03
-4.1700E-07,1.9087720513E-03
-4.1600E-07,1.9136787057E-03
-4.1500E-07,1.9116922021E-03
-4.1400E-07,1.9158311486E-03
-4.1300E-07,1.9170194268E-03
-4.1200E-07,1.9175663590E-03
-4.1100E-07,1.9258232713E-03
-4.1000E-07,1.9207540154E-03
-4.0900E-07,1.9285174012E-03
-4.0800E-07,1.9196301103E-03
-4.0700E-07,1.9413147569E-03
-4.0600E-07,1.9276018739E-03
-4.0500E-07,1.9049602151E-03
-4.0400E-07,1.9253621697E-03
-4.0300E-07,1.9064779878E-03
-4.0200E-07,1.9237328172E-03
-4.0100E-07,1.9143295884E-03
-4.0000E-07,1.9238906503E-03
-3.9900E-07,1.9210091233E-03
-3.9800E-07,1.9084253907E-03
-3.9700E-07,1.9259391427E-03
-3.9600E-07,1.9199891686E-03
-3.9500E-07,1.9178176522E-03
-3.9400E-07,1.9151383042E-03
-3.9300E-07,1.9176488519E-03
-3.9200E-07,1.9209666848E-03
-3.9100E-07,1.9211145043E-03
-3.9000E-07,1.9044385552E-03
-3.8900E-07,1.9294729829E-03
-3.8800E-07,1.9110861421E-03
-3.8700E-07,1.9225283265E-03
-3.8600E-07,1.9169269204E-03
-3.8500E-07,1.9179793000E-03
-3.8400E-07,1.9188862443E-03
-3.8300E-07,1.9124551415E-03
-3.8200E-07,1.9134321809E-03
-3.8100E-07,1.9188180566E-03
-3.8000E-07,1.9127317071E-03
-3.7900E-07,1.9083080888E-03
-3.7800E-07,1.9174595475E-03
-3.7700E-07,1.9237514138E-03
-3.7600E-07,1.9078817964E-03
-3.7500E-07,1.9080424905E-03
-3.7400E-07,1.9201098084E-03
-3.7300E-07,1.9179602265E-03
